iter	RMSE
0	4.989162635
1	4.84286683
2	4.700580149
3	4.562799203
4	4.429190389
5	4.29978129
6	4.174668297
7	4.053827735
8	3.935356625
9	3.820850781
10	3.710578414
11	3.603570077
12	3.499805791
13	3.399168415
14	3.300863267
15	3.205350515
16	3.112793573
17	3.023158355
18	2.93584541
19	2.851482441
20	2.769430205
21	2.690030979
22	2.613915607
23	2.539396254
24	2.467477918
25	2.397229556
26	2.329579899
27	2.263946357
28	2.2001987
29	2.138560051
30	2.079070108
31	2.021372932
32	1.965285957
33	1.911020711
34	1.859005139
35	1.808567194
36	1.759216758
37	1.712395656
38	1.66622471
39	1.621529179
40	1.578532683
41	1.53723294
42	1.49685692
43	1.45789914
44	1.420090124
45	1.383710438
46	1.348273799
47	1.313995202
48	1.281153811
49	1.249232563
50	1.218302475
51	1.189034281
52	1.160132581
53	1.132592481
54	1.105804309
55	1.080173752
56	1.055411345
57	1.031518126
58	1.008307505
59	0.985763006
60	0.9641315868
61	0.942955696
62	0.9227923746
63	0.9033534148
64	0.8848851443
65	0.8672728946
66	0.8502838596
67	0.8338518985
68	0.818068507
69	0.8028031944
70	0.7882855167
71	0.7749933723
72	0.7615729184
73	0.7489224963
74	0.736232368
75	0.7244717242
76	0.7130861984
77	0.7019360499
78	0.6917521883
79	0.6819802105
80	0.6727650329
81	0.6639247829
82	0.6553159547
83	0.646992368
84	0.6390927321
85	0.6316224688
86	0.6241339479
87	0.6170938906
88	0.6106393869
89	0.6043194048
90	0.5981602921
91	0.5920401914
92	0.5863082993
93	0.5810236304
94	0.5757488735
95	0.5714124156
96	0.5667936219
97	0.5624277034
98	0.558106347
99	0.5539720292
100	0.5498998067
101	0.5462618436
102	0.5427630533
103	0.5392657339
104	0.5361533465
105	0.5330300127
106	0.5300788241
107	0.5275790755
108	0.5249801211
109	0.5225521839
110	0.5201339676
111	0.5177359803
112	0.5154159993
113	0.5134612689
114	0.5115790812
115	0.5097231157
116	0.5079934281
117	0.5065568827
118	0.5049106178
119	0.5033555053
120	0.5017940951
121	0.5004933916
122	0.499089637
123	0.4979451549
124	0.49700989
125	0.4958217355
126	0.4945369479
127	0.4935826395
128	0.4927470086
129	0.4917178221
130	0.4906838644
131	0.4895709712
132	0.4884331857
133	0.4873096529
134	0.4862013148
135	0.4848229559
136	0.4838579407
137	0.4829740736
138	0.4823643537
139	0.481605442
140	0.4807062383
141	0.4800043161
142	0.4795075896
143	0.4789573119
144	0.4783468437
145	0.4776687041
146	0.4770967517
147	0.4764704046
148	0.4755296928
149	0.4750961725
150	0.4746242673
151	0.4742020273
152	0.4737905978
153	0.4733569552
154	0.472942398
155	0.4724715297
156	0.4719522788
157	0.4715632232
158	0.4710743863
159	0.4705819194
160	0.4701771995
161	0.4697433296
162	0.4694448567
163	0.4690843886
164	0.4687724413
165	0.4684958582
166	0.4678269636
167	0.4675335971
168	0.4671801778
169	0.4668623426
170	0.466549101
171	0.4662592771
172	0.4660036225
173	0.4656485452
174	0.4655264983
175	0.4653115853
176	0.4650062929
177	0.4647488804
178	0.4644745479
179	0.4639306987
180	0.4638364881
181	0.4632912507
182	0.4629829349
183	0.4627262788
184	0.4622343275
185	0.4618645663
186	0.4616310309
187	0.461341851
188	0.4608719755
189	0.4604956498
190	0.4601605336
191	0.4597647947
192	0.459578555
193	0.4592169093
194	0.4588451385
195	0.4585706782
196	0.4583373018
197	0.4580737151
198	0.4578673955
199	0.4574915467
200	0.4572090133
201	0.4568163985
202	0.4567565452
203	0.4566175567
204	0.4564201057
205	0.4562966835
206	0.4561369075
