iter	Passed	Remaining
0	3	3715
1	7	3667
2	10	3608
3	12	3220
4	16	3248
5	19	3278
6	23	3325
7	26	3319
8	30	3307
9	33	3324
10	37	3356
11	41	3390
12	44	3403
13	48	3400
14	51	3378
15	54	3367
16	58	3372
17	60	3325
18	63	3293
19	66	3280
20	69	3262
21	72	3228
22	73	3119
23	76	3099
24	79	3085
25	80	3022
26	81	2945
27	84	2940
28	87	2919
29	90	2920
30	91	2856
31	94	2866
32	97	2865
33	100	2847
34	103	2856
35	106	2860
36	109	2857
37	110	2800
38	113	2790
39	116	2789
40	119	2790
41	122	2797
42	125	2798
43	128	2788
44	131	2781
45	134	2796
46	137	2794
47	140	2778
48	142	2761
49	145	2760
50	148	2766
51	151	2754
52	154	2752
53	157	2757
54	160	2756
55	163	2760
56	167	2764
57	169	2751
58	172	2747
59	175	2746
60	178	2746
61	181	2750
62	184	2750
63	188	2752
64	190	2745
65	194	2746
66	196	2738
67	198	2724
68	201	2719
69	204	2716
70	207	2718
71	208	2688
72	211	2688
73	214	2687
74	217	2684
75	220	2678
76	223	2682
77	227	2683
78	228	2668
79	231	2666
80	234	2658
81	236	2643
82	238	2638
83	240	2626
84	243	2619
85	246	2619
86	249	2618
87	252	2620
88	255	2618
89	258	2615
90	261	2614
91	265	2616
92	268	2617
93	271	2613
94	274	2614
95	275	2595
96	279	2597
97	282	2599
98	285	2600
99	289	2602
100	292	2604
101	295	2605
102	299	2605
103	302	2608
104	305	2606
105	309	2608
106	312	2608
107	314	2600
108	318	2600
109	321	2598
110	324	2598
111	328	2600
112	331	2599
113	334	2597
114	337	2594
115	340	2595
116	343	2592
117	346	2589
118	349	2587
119	352	2588
120	355	2585
121	358	2583
122	362	2581
123	364	2576
124	366	2565
125	369	2564
126	373	2566
127	375	2561
128	377	2551
129	380	2549
130	384	2552
131	387	2547
132	390	2544
133	393	2542
134	396	2540
135	399	2536
136	402	2532
137	404	2526
138	407	2521
139	410	2519
140	412	2515
141	415	2511
142	417	2503
143	420	2499
144	423	2498
145	426	2495
146	430	2495
147	433	2495
148	436	2493
149	440	2494
150	443	2491
151	446	2488
152	449	2488
153	452	2486
154	455	2484
155	458	2482
156	461	2479
157	464	2477
158	467	2473
159	470	2471
160	473	2466
161	476	2462
162	478	2458
163	481	2454
164	484	2451
165	487	2447
166	490	2444
167	493	2441
168	496	2440
169	499	2437
170	501	2433
171	505	2431
172	507	2427
173	510	2425
174	512	2416
175	515	2413
176	518	2410
177	521	2409
178	524	2407
179	527	2402
180	528	2393
181	532	2391
182	534	2387
183	537	2384
184	540	2381
185	543	2377
186	546	2375
187	549	2373
188	552	2370
189	555	2366
190	558	2364
191	560	2360
192	564	2359
193	567	2356
194	570	2353
195	573	2351
196	575	2346
197	578	2345
198	581	2341
199	585	2340
200	587	2336
201	591	2336
202	592	2327
203	595	2322
204	598	2321
205	601	2318
206	604	2316
207	607	2312
208	610	2309
209	613	2307
210	616	2303
211	618	2298
212	621	2295
213	624	2292
214	626	2288
215	629	2285
216	632	2281
217	635	2280
218	638	2275
219	641	2273
220	644	2270
221	646	2265
222	649	2262
223	652	2260
224	655	2257
225	658	2254
226	661	2252
227	664	2250
228	667	2247
229	670	2244
230	674	2244
231	677	2242
232	680	2240
233	683	2238
234	686	2233
235	689	2232
236	693	2231
237	696	2229
238	699	2227
239	702	2225
240	706	2223
241	709	2221
242	712	2218
243	714	2215
244	717	2211
245	720	2208
246	724	2207
247	726	2203
248	729	2201
249	732	2197
250	736	2198
251	743	2206
252	749	2211
253	752	2209
254	755	2206
255	816	2372
256	820	2372
257	824	2370
258	826	2365
259	830	2362
260	833	2358
261	836	2355
262	838	2348
263	841	2345
264	844	2342
265	847	2339
266	850	2335
267	853	2331
268	857	2328
269	859	2324
270	862	2320
271	865	2317
272	868	2312
273	871	2309
274	876	2309
275	879	2306
276	882	2302
277	885	2299
278	888	2296
279	891	2292
280	895	2291
281	898	2287
282	901	2285
283	905	2282
284	908	2278
285	911	2275
286	914	2271
287	917	2268
288	920	2263
289	923	2260
290	926	2257
291	929	2252
292	932	2250
293	935	2247
294	938	2243
295	942	2240
296	944	2236
297	947	2231
298	950	2229
299	954	2226
300	957	2223
301	960	2218
302	963	2216
303	966	2212
304	969	2208
305	972	2205
306	975	2201
307	978	2198
308	982	2196
309	985	2192
310	988	2190
311	992	2187
312	994	2183
313	998	2180
314	1001	2177
315	1003	2173
316	1007	2171
317	1010	2167
318	1013	2164
319	1017	2161
320	1020	2158
321	1023	2154
322	1024	2147
323	1027	2143
324	1031	2141
325	1034	2139
326	1037	2136
327	1040	2132
328	1043	2127
329	1046	2124
330	1049	2121
331	1053	2118
332	1056	2115
333	1059	2113
334	1062	2110
335	1066	2107
336	1069	2104
337	1072	2099
338	1075	2097
339	1079	2095
340	1082	2091
341	1086	2089
342	1088	2085
343	1092	2083
344	1095	2079
345	1098	2076
346	1101	2072
347	1104	2069
348	1107	2066
349	1110	2062
350	1113	2059
351	1117	2056
352	1119	2052
353	1122	2048
354	1126	2046
355	1129	2043
356	1132	2040
357	1136	2037
358	1139	2034
359	1142	2031
360	1145	2028
361	1149	2026
362	1152	2022
363	1155	2019
364	1158	2015
365	1161	2012
366	1164	2009
367	1168	2006
368	1171	2002
369	1174	1999
370	1177	1996
371	1180	1993
372	1183	1989
373	1187	1987
374	1190	1984
375	1193	1981
376	1197	1978
377	1200	1975
378	1203	1972
379	1207	1969
380	1210	1966
381	1213	1963
382	1216	1960
383	1220	1957
384	1223	1953
385	1226	1951
386	1229	1947
387	1233	1945
388	1236	1942
389	1240	1939
390	1243	1936
391	1246	1933
392	1249	1930
393	1253	1927
394	1256	1924
395	1259	1921
396	1262	1918
397	1266	1915
398	1269	1912
399	1273	1909
400	1275	1906
401	1279	1902
402	1282	1899
403	1285	1897
404	1289	1894
405	1292	1891
406	1296	1888
407	1299	1885
408	1303	1883
409	1306	1879
410	1309	1876
411	1312	1873
412	1316	1870
413	1319	1868
414	1323	1865
415	1326	1861
416	1328	1858
417	1331	1854
418	1334	1850
419	1338	1847
420	1341	1844
421	1344	1841
422	1347	1838
423	1351	1835
424	1355	1833
425	1358	1829
426	1361	1827
427	1364	1824
428	1368	1820
429	1371	1817
430	1374	1815
431	1378	1812
432	1382	1810
433	1386	1808
434	1390	1805
435	1393	1803
436	1396	1799
437	1400	1796
438	1403	1793
439	1406	1789
440	1409	1786
441	1411	1782
442	1415	1779
443	1418	1776
444	1422	1773
445	1424	1769
446	1427	1766
447	1430	1762
448	1434	1760
449	1437	1757
450	1441	1755
451	1445	1752
452	1448	1749
453	1451	1745
454	1455	1742
455	1458	1740
456	1461	1736
457	1464	1733
458	1467	1729
459	1471	1726
460	1473	1723
461	1476	1719
462	1480	1717
463	1483	1713
464	1487	1711
465	1489	1707
466	1492	1703
467	1495	1699
468	1498	1696
469	1500	1692
470	1504	1689
