iter	RMSE
0	0.6536423403
1	0.5989644457
2	0.5621854709
3	0.5339193804
4	0.5125357669
5	0.4963109973
6	0.4848866917
7	0.4737952294
8	0.4688794777
9	0.4652183539
10	0.4608356695
11	0.4553051774
12	0.4509029065
13	0.4451443006
14	0.4428093001
15	0.4414250598
16	0.439182307
17	0.4346798677
18	0.4331810262
19	0.4324858062
20	0.4311131372
21	0.4299634985
22	0.4278690903
23	0.4276287984
24	0.4254791708
25	0.4251538739
26	0.4247297376
27	0.4237792976
28	0.4231157934
29	0.4216981039
30	0.4195974136
31	0.4183304509
32	0.4156536297
33	0.4155176402
34	0.4153968861
35	0.4136807876
36	0.412201946
37	0.4108029319
38	0.4084144186
39	0.4081137532
40	0.4069201281
41	0.4066804427
42	0.4059914849
43	0.4045269698
44	0.4030509313
45	0.4026770969
46	0.400751981
47	0.3990424267
48	0.397221893
49	0.3965953777
50	0.3955456704
51	0.394859836
52	0.3944687718
53	0.3928486095
54	0.3926335725
55	0.3914423581
56	0.3903010769
57	0.3890210219
58	0.3875971182
59	0.387354942
60	0.3872190208
61	0.3862619698
62	0.3853357623
63	0.3836653886
64	0.3824988866
65	0.382151901
66	0.3820270447
67	0.3819495242
68	0.3819007201
69	0.3804907475
70	0.378861772
71	0.3786631328
72	0.3772209451
73	0.3763290086
74	0.3755060259
75	0.375431689
76	0.3753141394
77	0.3747369
78	0.3746555675
79	0.3735640262
