iter	Passed	Remaining
0	1	129
1	1	129
2	16	617
3	30	760
4	42	793
5	78	1155
6	159	1935
7	180	1855
8	181	1614
9	184	1437
10	186	1288
11	227	1407
12	407	2277
13	498	2529
14	532	2474
15	543	2316
16	678	2671
17	821	2994
18	905	3067
19	907	2864
20	928	2739
21	1067	2948
22	1078	2793
23	1079	2628
24	1221	2798
25	1222	2640
26	1225	2497
27	1226	2362
28	1232	2244
29	1235	2130
30	1426	2329
31	1522	2356
32	1651	2426
33	1653	2304
34	1654	2189
35	1746	2196
36	1829	2184
37	1864	2116
38	2048	2210
39	2053	2106
40	2135	2082
41	2138	1981
42	2223	1959
43	2259	1892
44	2392	1903
45	2434	1839
46	2515	1804
47	2616	1781
48	2661	1718
49	2758	1688
50	2855	1656
51	3007	1651
52	3201	1662
53	3245	1592
54	3425	1585
55	3619	1579
56	3715	1525
57	3892	1502
58	4037	1461
59	4231	1434
60	4360	1380
61	4454	1314
62	4491	1231
63	4584	1164
64	4630	1085
65	4772	1028
66	4915	968
67	5009	897
68	5050	816
69	5188	751
70	5216	670
71	5259	592
72	5351	520
73	5389	442
74	5418	366
75	5596	298
76	5643	222
77	5688	147
78	5818	74
79	5912	0
